datetime,variation
2025-09-17 06:00:00+00:00,742.9689074791677
2025-09-17 06:05:00+00:00,704.0829900786921
2025-09-17 06:10:00+00:00,563.7777803953504
2025-09-17 06:15:00+00:00,559.1525044793088
2025-09-17 06:20:00+00:00,477.66419711196795
2025-09-17 06:25:00+00:00,508.44470423742314
2025-09-17 06:30:00+00:00,502.6850857736281
2025-09-17 06:35:00+00:00,453.0235721662175
2025-09-17 06:40:00+00:00,557.5922718684451
2025-09-17 06:45:00+00:00,518.8443765285192
2025-09-17 06:50:00+00:00,400.8853040861868
2025-09-17 06:55:00+00:00,416.5470761419274
2025-09-17 07:00:00+00:00,370.3486443335132
2025-09-17 07:05:00+00:00,198.88510646384384
2025-09-17 07:10:00+00:00,173.69938688073307
2025-09-17 07:15:00+00:00,188.1621765634918
2025-09-17 07:20:00+00:00,258.21637432412535
2025-09-17 07:25:00+00:00,257.240990629507
2025-09-17 07:30:00+00:00,228.2138882202853
2025-09-17 07:35:00+00:00,172.6709796473151
2025-09-17 07:40:00+00:00,240.94233365441323
2025-09-17 07:45:00+00:00,136.36478190822527
2025-09-17 07:50:00+00:00,103.68942753574811
2025-09-17 07:55:00+00:00,151.2067147265916
2025-09-17 08:00:00+00:00,59.110115340474294
2025-09-17 08:05:00+00:00,63.65284884227731
2025-09-17 08:10:00+00:00,47.42469558634912
2025-09-17 08:15:00+00:00,152.41711304195633
2025-09-17 08:20:00+00:00,160.8422938400181
2025-09-17 08:25:00+00:00,252.9484630455845
2025-09-17 08:30:00+00:00,337.53779821172066
2025-09-17 08:35:00+00:00,475.1321457621525
2025-09-17 08:40:00+00:00,342.5859972979815
2025-09-17 08:45:00+00:00,407.40306369446625
2025-09-17 08:50:00+00:00,350.48143462969165
2025-09-17 08:55:00+00:00,323.9435196255654
2025-09-17 09:00:00+00:00,269.81499036173045
2025-09-17 09:05:00+00:00,347.7920697764057
2025-09-17 09:10:00+00:00,393.54961124199326
2025-09-17 09:15:00+00:00,356.8454077677743
2025-09-17 09:20:00+00:00,324.9781452038733
2025-09-17 09:25:00+00:00,230.2602475379972
2025-09-17 09:30:00+00:00,219.52489419929043
2025-09-17 09:35:00+00:00,168.11733388566063
2025-09-17 09:40:00+00:00,83.24878115435422
2025-09-17 09:45:00+00:00,136.40424313228868
2025-09-17 09:50:00+00:00,235.68937878812721
2025-09-17 09:55:00+00:00,203.53906016616384
2025-09-17 10:00:00+00:00,288.9435678127629
2025-09-17 10:05:00+00:00,358.00663868799165
2025-09-17 10:10:00+00:00,313.35318774639745
2025-09-17 10:15:00+00:00,286.03949965458014
2025-09-17 10:20:00+00:00,289.1521488628496
2025-09-17 10:25:00+00:00,358.9332056030835
2025-09-17 10:30:00+00:00,452.24828034610255
2025-09-17 10:35:00+00:00,427.71973860030994
2025-09-17 10:40:00+00:00,463.86937138387293
2025-09-17 10:45:00+00:00,463.6813844077551
2025-09-17 10:50:00+00:00,366.22979780889
2025-09-17 10:55:00+00:00,291.41689040942583
2025-09-17 11:00:00+00:00,302.6358809907688
